ID,FECHA,AÑO,MES,HORA,pos x,pos y,TIPO_DE_CALLE,COMUNA,VICTIMA,ACUSADO,N_VICTIMAS,ROL,SEXO,EDAD
2017-0014,2017-01-28,2017,1,08:27:34,-58.49185972,-34.55046754,AVENIDA,12,MOTO,MULTIPLE,1,PASAJERO_ACOMPAÑANTE,FEMENINO,22
2017-0015,2017-02-02,2017,2,15:18:03,-58.39293417,-34.59963642,AVENIDA,2,PEATON,AUTO,1,PEATON,MASCULINO,82
2017-0016,2017-02-03,2017,2,05:12:21,-58.38099494,-34.62288231,AUTOPISTA,1,MOTO,CARGAS,1,CONDUCTOR,MASCULINO,27
2017-0017,2017-02-06,2017,2,08:00:00,-58.429012,-34.58095431,AVENIDA,14,MOTO,AUTO,1,CONDUCTOR,MASCULINO,32
2017-0018,2017-02-09,2017,2,07:00:00,-58.50877521,-34.66977709,GRAL PAZ,9,MOTO,AUTO,1,CONDUCTOR,MASCULINO,30
2017-0021,2017-02-18,2017,2,05:30:00,-58.38362373,-34.60509972,CALLE,1,MOTO,PASAJEROS,1,CONDUCTOR,MASCULINO,43
2017-0024,2017-02-23,2017,2,20:50:00,-58.46589308,-34.62955795,AVENIDA,7,PEATON,PASAJEROS,1,PEATON,MASCULINO,39
2017-0025,2017-02-24,2017,2,17:05:00,-58.43614426,-34.6542464,AVENIDA,7,MOTO,SD,1,CONDUCTOR,MASCULINO,23
2017-0026,2017-02-26,2017,2,05:15:00,-58.41842777,-34.64979057,AVENIDA,4,AUTO,OBJETO FIJO,2,PASAJERO_ACOMPAÑANTE,FEMENINO,23
2017-0026,2017-02-26,2017,2,05:15:00,-58.41842777,-34.64979057,AVENIDA,4,AUTO,OBJETO FIJO,2,CONDUCTOR,MASCULINO,19
2017-0027,2017-02-26,2017,2,21:57:00,-58.38332245,-34.6319325,AVENIDA,1,PEATON,AUTO,1,PEATON,MASCULINO,SD
2017-0028,2017-02-28,2017,2,09:20:00,-58.45475488,-34.61196327,AVENIDA,6,PEATON,AUTO,1,PEATON,MASCULINO,87
2017-0029,2017-03-07,2017,3,02:15:00,-58.48501341,-34.64742455,CALLE,9,SD,AUTO,1,SD,MASCULINO,34
2017-0030,2017-03-07,2017,3,08:00:00,-58.47010988,-34.65872088,AVENIDA,9,AUTO,PASAJEROS,1,CONDUCTOR,FEMENINO,27
2017-0031,2017-03-11,2017,3,01:30:00,-58.4099756,-34.62873635,CALLE,3,AUTO,OBJETO FIJO,1,PASAJERO_ACOMPAÑANTE,MASCULINO,70
2017-0032,2017-03-12,2017,3,05:00:00,-58.48892175,-34.68359163,GRAL PAZ,8,AUTO,AUTO,1,PASAJERO_ACOMPAÑANTE,FEMENINO,40
2017-0033,2017-03-12,2017,3,07:30:00,-58.52466448,-34.60325478,GRAL PAZ,11,AUTO,AUTO,1,CONDUCTOR,MASCULINO,28
2017-0034,2017-03-13,2017,3,07:50:00,-58.42554218,-34.57929036,CALLE,14,PEATON,AUTO,1,PEATON,MASCULINO,43
